,,PROJECTS
,,OUTDOORS – INCOME – HOUSE – PEOPLE
SPECIFIC,,
,Large,OUTDOORS – Circuit of Lough Derg by hybrid
,,OUTDOORS – Howling Ridge – skills training and do it
,,
 ,,
,,
,,
,Medium,
,,
,,
,, 
,,
,,
,Small,
,,
,,
VAGUE,,This should be a very long list
,,
,Large,INCOME – Part 1:  Manage & organise mentally
,,INCOME – Part 2: Do stuff / meet / interact with people / organisations
,,Buy an island and live on it
,,
,Medium,OUTDOORS – One night+  wild camping
,,HOUSE – grow something
,,OUTDOORS – Fishing – Go out and catch something...
,,
,Small,
